Problem:    parte2
Rows:       220
Columns:    71 (71 integer, 41 binary)
Non-zeros:  990
Status:     INTEGER OPTIMAL
Objective:  Coste_total = 872030 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 Coste_total            872030                             
     2 atender_llamadas[D1]
                                5000          5000             = 
     3 atender_llamadas[D2]
                                6500          6500             = 
     4 atender_llamadas[D3]
                                5400          5400             = 
     5 atender_llamadas[D4]
                                7500          7500             = 
     6 atender_llamadas[D5]
                                5500          5500             = 
     7 maximo_llamadas[L1]
                                   0                       10000 
     8 maximo_llamadas[L2]
                                6750                       10000 
     9 maximo_llamadas[L3]
                                6614                       10000 
    10 maximo_llamadas[L4]
                                9921                       10000 
    11 maximo_llamadas[L5]
                                6615                       10000 
    12 maximo_llamadas[L6]
                                   0                       10000 
    13 maximo_tiempo[L1,D1]
                                   0                          -0 
    14 maximo_tiempo[L1,D2]
                                   0                          -0 
    15 maximo_tiempo[L1,D3]
                                   0                          -0 
    16 maximo_tiempo[L1,D4]
                                   0                          -0 
    17 maximo_tiempo[L1,D5]
                                   0                          -0 
    18 maximo_tiempo[L2,D1]
                                   0                          -0 
    19 maximo_tiempo[L2,D2]
                                   0                          -0 
    20 maximo_tiempo[L2,D3]
                                   0                          -0 
    21 maximo_tiempo[L2,D4]
                             -155250                          -0 
    22 maximo_tiempo[L2,D5]
                                   0                          -0 
    23 maximo_tiempo[L3,D1]
                                   0                          -0 
    24 maximo_tiempo[L3,D2]
                              -18210                          -0 
    25 maximo_tiempo[L3,D3]
                             -113400                          -0 
    26 maximo_tiempo[L3,D4]
                                   0                          -0 
    27 maximo_tiempo[L3,D5]
                                   0                          -0 
    28 maximo_tiempo[L4,D1]
                             -115000                          -0 
    29 maximo_tiempo[L4,D2]
                              -83420                          -0 
    30 maximo_tiempo[L4,D3]
                                   0                          -0 
    31 maximo_tiempo[L4,D4]
                              -18750                          -0 
    32 maximo_tiempo[L4,D5]
                                   0                          -0 
    33 maximo_tiempo[L5,D1]
                                   0                          -0 
    34 maximo_tiempo[L5,D2]
                              -18955                          -0 
    35 maximo_tiempo[L5,D3]
                                   0                          -0 
    36 maximo_tiempo[L5,D4]
                                   0                          -0 
    37 maximo_tiempo[L5,D5]
                             -137500                          -0 
    38 maximo_tiempo[L6,D1]
                                   0                          -0 
    39 maximo_tiempo[L6,D2]
                                   0                          -0 
    40 maximo_tiempo[L6,D3]
                                   0                          -0 
    41 maximo_tiempo[L6,D4]
                                   0                          -0 
    42 maximo_tiempo[L6,D5]
                                   0                          -0 
    43 balance_esfuerzo[L1,L1]
                                   0                       1e+06 
    44 balance_esfuerzo[L1,L2]
                              989875                       1e+06 
    45 balance_esfuerzo[L1,L3]
                              990079                       1e+06 
    46 balance_esfuerzo[L1,L4]
                              985118                       1e+06 
    47 balance_esfuerzo[L1,L5]
                              990078                       1e+06 
    48 balance_esfuerzo[L1,L6]
                                   0                       1e+06 
    49 balance_esfuerzo[L2,L1]
                                6750                       1e+06 
    50 balance_esfuerzo[L2,L2]
                              996625                       1e+06 
